ID,ItemID,RepDrawRate,AffinityLvID
240010001,61001,25,241000001
240010002,61002,40,241000001
240010003,61003,35,241000001
240020001,61001,15,241000002
240020002,61002,20,241000002
240020003,61003,35,241000002
240020004,61004,25,241000002
240020005,61005,5,241000002
240030001,61001,10,241000003
240030002,61002,15,241000003
240030003,61003,15,241000003
240030004,61004,20,241000003
240030005,61005,20,241000003
240030006,62001,10,241000003
240030007,62002,7,241000003
240030008,62003,3,241000003
240040001,61001,3,241000004
240040002,61002,5,241000004
240040003,61003,10,241000004
240040004,61004,15,241000004
240040005,61005,20,241000004
240040006,62001,25,241000004
240040007,62002,8.5,241000004
240040008,62003,6.5,241000004
240040009,62004,5,241000004
240040010,62005,2,241000004
240050001,61004,8,241000005
240050002,61005,12,241000005
240050003,62001,15,241000005
240050004,62002,17,241000005
240050005,62003,20,241000005
240050006,62004,12,241000005
240050007,62005,7,241000005
240050008,63001,6,241000005
240050009,63002,3,241000005
240060001,61004,4,241000006
240060002,61005,5.5,241000006
240060003,62001,8.5,241000006
240060004,62002,11,241000006
240060005,62003,18.5,241000006
240060006,62004,16.5,241000006
240060007,62005,14.5,241000006
240060008,63001,10.5,241000006
240060009,63002,5.5,241000006
240060010,63003,3.5,241000006
240060011,63004,1.5,241000006
240060012,63005,0.5,241000006
240070001,61005,5,241000007
240070002,62001,5.5,241000007
240070003,62002,8.5,241000007
240070004,62003,11,241000007
240070005,62004,18.5,241000007
240070006,62005,16.5,241000007
240070007,63001,14.5,241000007
240070008,63002,9.5,241000007
240070009,63003,5.5,241000007
240070010,63004,3.5,241000007
240070011,63005,1.5,241000007
240070012,64001,0.5,241000007
240080001,62001,4,241000008
240080002,62002,5.5,241000008
240080003,62003,8.5,241000008
240080004,62004,11,241000008
240080005,62005,15.5,241000008
240080006,63001,16.5,241000008
240080007,63002,14.5,241000008
240080008,63003,10.5,241000008
240080009,63004,8.5,241000008
240080010,63005,3.75,241000008
240080011,64001,1.25,241000008
240080012,64002,0.5,241000008
